,breadscrum,cod_item,cod_item_pai,nome,situacao,visibilidade_externa,monocratico,colegiado,presidente_vice,flg_papel,flg_eletronico,just_es_2grau,just_es_juizado_es,just_es_turmas,just_es_1grau_mil,just_es_2grau_mil,just_es_juizado_es_fp,just_tu_es_un,just_fed_1grau,just_fed_2grau,just_fed_juizado_es,just_fed_turmas,just_fed_nacional,just_fed_regional,just_trab_1grau,just_trab_2grau,just_trab_tst,just_trab_csjt,stf,stj,cjf,cnj,just_mil_uniao_1grau,just_mil_uniao_stm,just_mil_est_1grau,just_mil_est_tjm,just_elei_1grau,just_elei_2grau,just_elei_tse
122,1:3:207:432,432,207,Recurso Extraordinário,A,S,N,N,S,S,S,S,N,S,N,S,N,N,S,S,N,S,N,N,N,N,S,N,S,S,N,N,N,S,N,S,S,S,S
123,1:3:207:433,433,207,Recurso Especial,A,S,N,N,S,S,S,S,N,N,N,S,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S
124,1:3:207:434,434,207,Recurso de Revista,A,S,N,N,S,S,S,N,N,N,N,N,N,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,0,N,S,S,S
125,1:193:385:210:442,442,210,Segurança,A,S,S,S,N,S,S,S,N,S,S,S,N,N,S,S,N,S,N,N,S,S,S,N,S,S,N,N,N,S,S,S,S,S,S
126,1:193:385:210:443,443,210,Habeas corpus,A,S,S,S,N,S,S,S,N,S,S,S,N,N,S,S,N,S,N,N,N,S,S,N,S,S,N,N,N,S,S,S,S,S,S
127,1:193:385:210:444,444,210,Habeas data,A,S,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,S,N,N,N,S,S,N,N,N,S,S,S,S,S,S
128,1:193:385:210:445,445,210,Mandado de injunção,A,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,S,S,S
129,1:193:385:212:446,446,212,Segurança,A,S,S,S,N,S,S,S,N,S,S,S,N,N,S,S,N,S,N,N,S,S,S,N,S,S,N,N,N,S,S,S,S,S,S
130,1:193:385:212:447,447,212,Habeas corpus,A,S,S,S,N,S,S,S,N,S,S,S,N,N,S,S,N,S,N,N,N,S,S,N,S,S,N,N,N,S,S,S,S,S,S
131,1:193:385:212:448,448,212,Habeas data,A,S,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,S,N,N,N,S,S,N,N,N,S,S,S,S,S,S
132,1:193:385:212:449,449,212,Mandado de injunção,A,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,S,S,S
133,1:193:385:214:450,450,214,Segurança,A,S,S,S,N,S,S,S,N,S,S,S,N,N,S,S,N,S,N,N,S,S,S,N,S,S,N,N,N,S,S,S,S,S,S
134,1:193:385:214:451,451,214,Habeas corpus,A,S,S,S,N,S,S,S,N,S,S,S,N,N,S,S,N,S,N,N,N,S,S,N,S,S,N,N,N,S,S,S,S,S,S
135,1:193:385:214:452,452,214,Habeas data,A,S,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,S,N,N,N,S,S,N,N,N,S,S,S,S,S,S
136,1:193:385:214:453,453,214,Mandado de injunção,A,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,S,S,S
137,1:193:218:456:454,454,456,Indeferimento da petição inicial,A,S,S,S,N,S,S,S,S,S,S,S,S,N,S,S,S,S,N,N,S,S,S,N,S,S,N,S,N,S,S,S,S,S,S
138,1:193:385:455,455,385,Renúncia ao direito pelo autor,A,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,N,N,N,N,S,S,S,S,S
139,1:193:218:456,456,218,Extinção,A,S,S,S,N,S,S,S,S,N,N,N,S,N,S,S,S,N,N,N,S,S,N,N,N,S,N,S,N,N,0,N,S,S,S
140,1:193:218:456:457,457,456,Paralisação por negligência das partes,A,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,N,N,N,S,S,S,S,S,S
141,1:193:218:456:458,458,456,Abandono da causa,A,S,N,N,N,S,S,S,S,S,S,S,S,N,S,S,S,S,N,N,S,S,S,N,S,S,N,N,N,N,S,S,S,S,S
142,1:193:218:456:459,459,456,Ausência de pressupostos processuais,A,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,N,S,S,S,N,S,S,N,S,N,S,S,S,S,S,S
143,1:193:218:456:460,460,456,"Perempção, litispendência ou coisa julgada",A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,S
144,1:193:218:456:461,461,456,Ausência das condições da ação,A,S,N,N,N,S,S,S,S,S,S,S,S,N,S,S,S,S,N,N,S,S,S,N,S,S,N,S,N,S,S,S,S,S,S
145,1:193:218:456:462,462,456,Convenção de arbitragem,A,S,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,S,S,S,S,N,S,S,N,N,N,N,N,N,S,S,S
146,1:193:218:456:463,463,456,Desistência,A,S,S,S,N,S,S,S,S,N,S,S,S,N,S,S,S,N,N,N,S,S,N,N,S,S,N,S,N,S,S,S,S,S,S
147,1:193:218:456:464,464,456,Ação intransmissível,A,S,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,S,S,S,S,N,S,S,N,N,N,N,N,N,S,S,S
148,1:193:218:456:465,465,456,Confusão entre autor e réu,I,S,N,N,N,S,S,S,N,N,N,N,N,N,S,S,N,N,N,N,S,S,S,N,S,S,N,N,N,N,N,N,S,S,S
149,1:193:385:466,466,385,Homologação de Transação,A,S,N,N,N,S,S,S,S,S,S,S,S,N,S,S,S,S,N,N,S,S,S,N,S,N,N,S,N,N,S,S,S,S,S
150,1:193:385:471,471,385,Pronúncia de Decadência ou Prescrição,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,N,N,N,N,S,S,S,S,S
151,1:193:218:228:472,472,228,"Sumaríssimo (art. 852-B, § 1º/CLT)",A,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S
152,1:193:218:228:473,473,228,Ausência do Reclamante,A,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S
153,14:15:16:478,478,16,Cálculo de Liquidação,A,S,N,N,N,S,S,S,S,N,S,S,S,N,S,S,S,N,N,N,S,S,S,N,N,S,N,N,N,N,S,S,S,S,S
154,14:15:16:479,479,16,Custas,A,S,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,S,S,S,N,S,S,N,N,N,N,S,S,S,S,S
155,14:15:16:480,480,16,Atualização de conta,A,S,N,N,N,S,S,S,S,N,S,S,S,N,S,S,S,N,N,N,S,S,S,N,N,S,N,N,N,N,S,S,S,S,S
156,14:15:16:481,481,16,Tributos,A,S,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,N,N,S,N,N,N,N,0,N,S,S,S
157,14:18:488,488,18,Cancelamento de Distribuição,A,S,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,S,S,S,N,N,S,N,S,S,S,S,S,S,S,S
158,14:48:493,493,48,Entrega em carga/vista,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
159,14:48:67:581,581,67,Documento,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
160,1:3:968:785,785,968,Antecipação de tutela,A,S,S,S,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,S,S,S,N,S,S,N,N,N,N,S,S,S,S,S
161,1:3:817:787,787,817,Assistência Judiciária Gratuita,I,S,S,S,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,S,S,S,S,N,S,S,N,N,N,N,N,N,S,S,S
162,1:3:138:788,788,138,Exceção de pré-executividade,A,S,S,S,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,S,S,S,N,N,S,N,N,N,N,S,S,S,S,S
163,1:3:968:792,792,968,Liminar,A,S,S,S,N,S,S,S,S,S,S,S,S,N,S,S,S,S,N,N,S,S,S,N,S,S,N,S,N,S,S,S,S,S,S
164,1:3:163:799,799,163,Aditamento do libelo,I,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
165,1:3:163:803,803,163,Libelo,I,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
166,1:3:163:804,804,163,Recurso,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,N,S,S,S,S,S,S,S
167,1:3:817,817,3,Concessão,A,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,S,S,S
168,1:3:817:818,818,817,Liberdade provisória,A,S,N,N,N,S,S,S,S,N,S,S,S,N,S,S,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
169,1:3:817:819,819,817,Livramento Condicional,A,S,N,N,N,S,S,S,N,N,S,S,N,N,S,S,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
170,1:3:7:821,821,7,Pena / Medida,A,S,N,N,N,S,S,S,S,N,S,S,S,N,S,S,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
171,1:3:117:823,823,117,Provisória,A,N,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,S,S,S
172,1:3:117:824,824,117,Definitiva,I,N,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,S,S,S
173,14:48:848,848,48,Trânsito em julgado,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
174,14:48:849,849,48,Reativação,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,N,N,N,N,S,N,S,S,S,S,S,S,S,S,S
175,1:193:218:853,853,218,Conversão de Agravo de Instrumento em Recurso Especial ou Extraordinário,A,S,S,S,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
176,14:48:861,861,48,Arquivamento,A,S,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,S,S,S,S,S,N,N,S,N,S,N,N,0,N,S,S,S
177,14:865,865,14,Arquivista,A,S,N,N,N,S,S,N,N,N,N,N,N,S,S,S,S,S,N,S,S,S,S,N,N,N,N,S,N,N,N,N,S,S,S
178,14:865:866,866,865,Guarda Intermediária,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,S,S,S,S
179,14:865:867,867,865,Guarda Permanente,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
180,14:865:869,869,865,Entrega definitiva dos autos,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,S,S,S,N,N,S,S,S,S,S
181,14:865:870,870,865,Autos Eliminados,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,S,S,S,S
182,1:193:385:871,871,385,Acolhimento em parte de Embargos de Declaração,A,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,N,N,S,S,S,S,S,S
183,14:48:873,873,48,Deliberação em Sessão,I,S,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,S,S,S,N,S,S,N,S,S,S,S,S,S,S,S,S,S,S
184,1:193:385:884,884,385,Transação Penal,A,S,N,N,N,S,S,N,S,N,S,S,S,N,N,N,S,N,N,N,N,N,N,N,N,S,N,N,N,N,S,S,S,S,S
185,1:3:888,888,3,Concessão em parte,A,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,S,S,S
186,1:3:888:889,889,888,Antecipação de Tutela,A,S,S,S,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,S,S,S,N,S,S,N,N,N,N,S,S,S,S,S
187,1:3:888:892,892,888,Liminar,A,S,S,S,N,S,S,S,S,S,S,S,S,N,S,S,S,S,N,N,S,S,S,N,S,S,N,S,N,S,S,S,S,S,S
188,14:48:893,893,48,Desarquivamento,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,N,S,S,S,S,S,S,S,S
189,14:48:897,897,48,Retirada de pauta,A,S,S,S,N,S,S,S,N,S,N,S,N,S,N,S,N,S,N,S,N,S,S,N,S,S,S,S,N,S,N,S,S,S,S
190,1:3:25:898,898,25,Por decisão judicial,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,N,S,S,S,S,S,S,S,S
191,1:193:385:900,900,385,Declaração de competência em conflito,I,S,N,S,N,S,S,S,S,S,S,S,S,N,S,S,S,S,N,N,S,S,S,N,N,S,S,N,S,S,S,S,S,S,S
192,1:193:385:901,901,385,Negação de seguimento,A,S,S,N,N,S,S,S,N,N,N,S,N,N,N,S,N,N,N,N,N,S,S,N,S,S,N,N,N,S,N,S,S,S,S
193,1:3:113:905,905,113,"de estrangeiro para deportação, expulsão ou extradição",A,N,N,N,N,S,S,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
194,14:48:928,928,48,Republicação,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,N,S,S,S,S,S,S,S
195,1:3:133:940,940,133,Impedimento ou Suspeição,A,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
196,1:3:11:941,941,11,Incompetência,A,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,S,S,S,S,S,S,S
197,1:3:378:944,944,378,Desistência de Recurso,A,S,S,N,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,N,S,S,S,N,S,S,N,S,S,S,S,S,S,S,S
198,1:3:157:945,945,157,Decisão anterior,A,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,N,S,S,S,S,S,S,S,S
199,1:3:25:947,947,25,Por pendência de AIREsp,I,S,N,N,N,S,S,S,N,N,N,S,N,N,N,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,S,S,S,S
200,1:3:25:960,960,25,Conflito de Competência,I,S,N,N,N,S,S,S,S,S,N,N,S,N,S,S,S,S,N,N,S,S,S,N,N,S,N,N,N,N,N,N,S,S,S
201,1:3:961,961,3,Suscitação de Conflito de Competência,A,S,N,N,N,S,S,S,S,S,S,S,S,N,S,S,S,S,N,N,S,S,S,N,S,S,N,N,S,S,S,S,S,S,S
202,1:3:968,968,3,Não-Concessão,A,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,S,S,S
203,14:48:970,970,48,Audiência,A,S,N,N,N,S,S,S,S,N,S,S,S,N,S,S,S,N,N,N,S,S,S,N,S,S,N,S,S,S,S,S,S,S,S
204,1:3:25:971,971,25,Exceção da Verdade,I,S,N,N,N,S,S,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
205,1:193:385:972,972,385,Provimento (art. 557 do CPC),A,S,S,N,N,S,S,S,N,N,N,S,N,N,N,S,N,S,S,S,N,S,S,N,S,S,N,N,N,N,N,S,S,S,S
206,1:193:385:973,973,385,Extinção da Punibilidade,A,S,N,S,N,S,S,S,S,N,N,N,S,N,S,S,S,N,N,N,N,N,N,N,N,S,N,N,N,N,0,N,S,S,S
207,14:865:977,977,865,Recebimento,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
208,14:865:978,978,865,Remessa,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
209,14:15:979,979,15,Recebimento,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,S,N,N,N,N,S,S,S,S,S
210,14:15:980,980,15,Remessa,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,S,N,N,N,N,S,S,S,S,S
211,14:18:981,981,18,Recebimento,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
212,14:18:982,982,18,Remessa,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
213,14:104:115:985,985,115,Mandado,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,N,S,S,S,S,S,S,S
214,14:104:115:987,987,115,Ofício,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
215,1:3:817:988,988,817,Permissão de saída,A,S,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,S,N,N,N,N,S,S,S,S,S
216,1:3:817:990,990,817,Direito de visita,A,S,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
217,1:3:817:1002,1002,817,Progressão de regime,A,S,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,S,N,N,N,N,S,S,S,S,S
218,1:3:11:1003,1003,11,Remição,A,S,N,N,N,S,S,N,N,N,S,S,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S
219,1:3:157:1004,1004,157,Livramento Condicional,A,N,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
220,1:3:1008,1008,3,Autorização,A,N,N,N,N,S,S,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,S,N,N,N,N,0,N,S,S,S
221,1:3:1008:1009,1009,1008,Trabalho Externo,A,S,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,S,N,N,N,N,S,S,S,S,S
222,1:3:1008:1010,1010,1008,Saída Temporária,A,S,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,S,N,N,N,N,S,S,S,S,S
223,1:3:1008:1011,1011,1008,Inclusão em Regime Disciplinar Diferenciado,A,N,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,S,N,N,N,N,S,S,S,S,S
224,1:3:1013,1013,3,Determinação,A,S,N,N,N,S,S,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,S,N,N,N,N,0,N,S,S,S
225,1:3:1013:1014,1014,1013,Regressão de Regime,A,S,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,S,N,N,N,N,S,S,S,S,S
226,1:3:1013:1015,1015,1013,Suspensão do Processo,I,S,N,N,N,S,S,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
227,1:3:157:1016,1016,157,Suspensão Condicional da Pena,A,N,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
228,1:3:817:1017,1017,817,Suspensão Condicional da Pena,A,S,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
229,1:3:1008:1018,1018,1008,Transferência para outro Estabelecimento Penal,A,N,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S
230,1:3:1008:1019,1019,1008,Transferência da Execução da Pena,A,N,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
231,1:193:385:973:1042,1042,973,Morte do agente,A,S,N,N,N,N,N,S,S,N,S,S,S,N,S,S,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
232,1:193:385:973:1043,1043,973,"Anistia, graça ou indulto",A,S,N,N,N,N,N,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
233,1:193:385:973:1044,1044,973,Retroatividade de lei,A,S,N,N,N,S,S,S,S,N,S,S,S,N,S,S,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
234,1:193:385:973:1045,1045,973,"Prescrição, decadência ou perempção",I,S,N,N,N,S,S,S,S,N,S,S,S,N,S,S,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
235,1:193:385:973:1046,1046,973,Renúncia do queixoso ou perdão aceito ,A,S,N,N,N,S,S,S,S,N,N,N,S,N,S,S,S,N,N,N,N,N,N,N,N,S,N,N,N,N,0,N,S,S,S
236,1:193:385:973:1047,1047,973,Retratação do agente,A,S,N,N,N,S,S,S,S,N,S,S,S,N,S,S,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
237,1:193:385:973:1048,1048,973,Perdão judicial,A,S,N,N,N,S,S,S,S,N,S,S,S,N,S,S,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
238,1:193:385:973:1049,1049,973,Pagamento integral do débito,A,S,N,N,N,S,S,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,S,S,S
239,1:193:385:973:1050,1050,973,Cumprimento da Pena,A,S,N,N,N,S,S,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
240,14:48:1051,1051,48,Decurso de Prazo,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,N,S,S,S,S,S,S,S,S
241,14:48:1052,1052,48,Bens Apreendidos,A,S,N,N,N,S,S,S,S,N,N,N,S,N,S,S,S,N,N,N,N,N,N,N,N,S,N,N,N,N,0,N,S,S,S
242,14:48:1052:1053,1053,1052,Destinação,A,S,N,N,N,S,S,S,S,N,S,S,S,N,S,S,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
243,14:48:1052:1054,1054,1052,Destinação Parcial,A,S,N,N,N,S,S,S,S,N,S,S,S,N,S,S,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,S,S,S,S
244,14:48:1052:1055,1055,1052,Cadastramento,A,S,N,N,N,S,S,S,S,N,S,S,S,N,S,S,S,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
