sigla;dsc_sigla
magaj;Número de magistrados afastados
magaj1;MagAJ1º - Número de Magistrados Afastados da Jurisdição no 1º Grau
magajje;MagAJJE - Número de Magistrados Afastados da Jurisdição nos Juizados Especiais
magajtr;MagAJTR - Número de Magistrados Afastados da Jurisdição nas Turmas Recursais
mage;MagE - Total de Cargos de Magistrado Existentes
mage1;MagE1º - Número de Cargos Existentes de Magistrado no 1º Grau
mage2;MagE2º - Número de Cargos Existentes de Magistrado no 2º Grau
mageje;MagEJe - Número de Cargos Existentes de Magistrado nos Juizados Especiais
magesub2;MagESub2º - Número de Cargos Existentes de Juiz Substituto no 2º Grau
magetit2;MagEtit2º – Número de Cargos Existentes de Magistrado Titular no 2º Grau
magje;MagJE - Total de Magistrados nos Juizados Especiais
magp;Número de cargos de Magistrado Providos
magp2;MagP2º - Número de Cargos Providos de Magistrado no 2º Grau
magpac1trje;MagPAc1TRJE - Número de Cargos Providos de Magistrado que Acumulam Função no 1º Grau, em Turmas Recursais ou Juizados Especiais
magpacje1;MagPAcJe1º - Número de Cargos Providos de Magistrado no 1º Grau que Acumulam Função em Juizados Especiais
magpactr1;MagPAcTr1º - Número de Cargos Providos de Magistrado no 1º Grau que Acumulam Função em Turmas Recursais
magpactrje;MagPAcTrJe - Número de Cargos Providos de Magistrado nos Juizados Especiais que Acumulam Função em Turmas Recursais
magpae1;MagPAe1º - Número de Cargos Providos de Magistrado no 1º Grau com Atuação Exclusiva
magpaeje;MagPAeJe - Número de Cargos Providos de Magistrado nos Juizados Especiais com Atuação Exclusiva
magpaetr;MagPAeTr - Número de Cargos Providos de Magistrado nas Turmas Recursais com atuação exclusiva
magpje;MagPJE – Cargos de Magistrado Providos nos Juizados Especiais
magptit2;MagPtit2º – Número de Cargos Providos de Magistrado Titular no 2º Grau
magptr;MagPTR – Cargos de Magistrado Providos nas Turmas Recursais
magtr;MagTR - Total de Magistrados nas Turmas Recursais
magv;Número de cargos vagos de magistrado
me;Número de militares
mldisparq;MLDispArq - Espaço disponível de arquivo em metros lineares
mlutilarq;MLUtilArq - Espaço utilizado com arquivo em metros lineares
munic;Número de municípios
odck;ODCK – Outras Despesas Correntes e de Capital
peoutros;PeOutros – Percentual de Processos Suspensos ou Sobrestados (exceto Repercussão Geral e Recursos Repetitivos)
peoutros1;PeOutros1 – Percentual de Processos Suspensos ou Sobrestados no 1º grau (exceto Repercussão Geral e Recursos Repetitivos)
peoutros2;PeOutros2 – Percentual de Processos Suspensos ou Sobrestados no 2º grau (exceto Repercussão Geral e Recursos Repetitivos)
peoutrosje;PeOutrosJE – Percentual de Processos Suspensos ou Sobrestados nos Juizados Especiais (exceto Repercussão Geral e Recursos Repetitivos)
peoutrostr;PeOutrosTR – Percentual de Processos Suspensos ou Sobrestados nas Turmas Recursais (exceto Repercussão Geral e Recursos Repetitivos)
perg;PeRG – Percentual de Processos Suspensos ou Sobrestados em Razão de Repercussão Geral
perg1;PeRG1º – Percentual de Processos Suspensos ou Sobrestados no 1º Grau em Razão de Repercussão Geral
perg2;PeRG2º – Percentual de Processos Suspensos ou Sobrestados no 2º Grau em Razão de Repercussão Geral
pergje;PeRGJE – Percentual de Processos Suspensos ou Sobrestados nos Juizados Especiais em Razão de Repercussão Geral
pergstm;PeRGSTM – Percentual de Processos Suspensos ou Sobrestados em Razão de Repercussão Geral no STM
pergtr;PeRGTR – Percentual de Processos Suspensos ou Sobrestados em Razão de Repercussão Geral nas Turmas Recursais
perr;PeRR – Percentual de Processos Suspensos ou Sobrestados em Razão de Recurso Repetitivo
perr1;PeRR1º – Percentual de Processos Suspensos ou Sobrestados no 1º Grau em Razão de Recurso Repetitivo
perr2;PeRR2º – Percentual de Processos Suspensos ou Sobrestados no 2º Grau em Razão de Recurso Repetitivo
perrje;PeRRJE – Percentual de Processos Suspensos ou Sobrestados nos Juizados Especiais em Razão de Recurso Repetitivo
perrtr;PeRRTR – Percentual de Processos Suspensos ou Sobrestados nas Turmas Recursais em Razão de Recurso Repetitivo
pesus;PeSuS – Percentual de Processos Suspensos ou Sobrestados
pesus1;PeSuS1 – Percentual de Processos Suspensos ou Sobrestados no 1º Grau
pesus2;PeSuS2 – Percentual de Processos Suspensos ou Sobrestados no 2º Grau
pesusc1;PeSuSC1 – Percentual de Processos de Conhecimento Suspensos ou Sobrestados no 1º Grau
pesuscje;PeSuSCJE – Percentual de Processos de Conhecimento Suspensos ou Sobrestados nos Juizados Especiais
pesusex1;PeSuSEx1 – Percentual de Processos de Execução Suspensos ou Sobrestados no 1º Grau
pesusexje;PeSuSExJE – Percentual de Processos de Execução Suspensos ou Sobrestados nos Juizados Especiais
pesusje;PeSuSJE – Percentual de Processos Suspensos ou Sobrestados nos Juizados Especiais
pesusstm;PeSuSSTM – Percentual de Processos Suspensos ou Sobrestados no STM
pesustr;PeSuSTR – Percentual de Processos Suspensos ou Sobrestados nas Turmas Recursais
pexs1;PExS1º - Percentual de Processos de Execução de Títulos Judiciais e Extrajudiciais (exceto penal e fiscal) que estão Suspensos ou Sobrestados ou em Arquivo Provisório no 1º grau
pexsfisc1;PExSFisc1º - Percentual de Processos de Execução Fiscal Suspensos ou Sobrestados ou em Arquivo Provisório no 1º grau
pib;PIB - Produto Interno Bruto
pm;Pm² – Força de Trabalho Total em relação à Área Útil (metros quadrados)
porte;Porte do Tribunal
procel;ProcEl - Índice de Processos Eletrônicos
procel1;ProcEl1º - Índice de Processos Eletrônicos no 1º Grau
procel2;ProcEl2º - Índice de Processos Eletrônicos no 2º Grau
procelje;ProcElJE - Índice de Processos Eletrônicos nos Juizados Especiais
procelstm;ProcElSTM – Índice de Processos Eletrônicos no STM
proceltr;ProcElTR - Índice de Processos Eletrônicos nas Turmas Recursais
proceltru;ProcElTRU – Índice de Processos Eletrônicos na Turma Regional de Uniformização
procml;ProcML - Espaço Utilizado em relação ao Espaço Disponível para Arquivamento de Processos Judiciais (metros lineares)
proct;ProcT – Espaço Terceirizado em relação ao Espaço Total Utilizado para Arquivamento de Processos (metros lineares)
r;R - Recolhimentos Diversos
ranking;Ordem do porte
receitas;Receitas - Total de Receitas
ref;REF - Receita decorrente de Execuções Fiscais
ricm;RICM - Receitas de Imposto Causa Mortis nos inventários/ arrolamentos
rin;RIn – Recorribilidade Interna
rin1;Rin1º - Recorribilidade Interna na Fase de Conhecimento do 1º Grau
rin2;RIn2º - Recorribilidade Interna de 2º Grau
rin2a;Rin2ºa - Recorribilidade Interna de Decisão Monocrática de 2º Grau
rin2b;Rin2ºb - Recorribilidade Interna de Embargos de Declaração no 2º Grau
rina;RIna – Recorribilidade Interna de Decisão Monocrática
rinb;Rinb – Recorribilidade Interna de Embargos de Declaração
rinc;Rinc –Recorribilidade Interna de Embargos
rinje;RinJE - Recorribilidade Interna na Fase de Conhecimento dos Juizados Especiais
rint;Rint - Total de Recursos Internos
rint2;RInt2º - Recursos Internos no 2º Grau
rintc1;RIntC1º - Recursos Internos no 1º Grau na Fase de Conhecimento
rintcje;RIntCJE - Recursos Internos da Fase de Conhecimento nos Juizados Especiais
rintcp1;RIntCP1º - Recursos Internos Pendentes no 1º Grau na Fase de Conhecimento
rintcpje;RIntCPJE - Recursos Internos Pendentes nos Juizados Especiais na Fase de Conhecimento
rintinc;RIntInc - Recursos Internos e Incidentes de Execução
rintincp;RIntIncP - Recursos Internos e Incidentes de Execução Pendentes
rintp;RintP - Total de Recursos Internos Pendentes
rintp2;RIntP2º - Recursos Internos Pendentes no 2º Grau
rintptr;RIntPTR - Recursos Internos Pendentes nas Turmas Recursais
rintr;RInTR - Recorribilidade Interna das Turmas Recursais
rinttr;RIntTR - Recursos Internos nas Turmas Recursais
rjai1;RjAI1º - Recursos de Agravos de Instrumento Julgados pelos Tribunais Estaduais
rjai2;RjAI2º - Recursos de Agravos de Instrumento julgados pelo STJ
rjap1;RjAP1º - Recursos de Apelações Julgados pelos Tribunais Estaduais
rjesp2;RjEsp2º - Recursos Especiais julgados pelo STJ
rjext2;RjExt2º - Recursos Extraordinários julgados pelo STF
rjexttr;RjExtTR - Recursos Extraordinários julgados pelo STF
rjinje;RjInJE - Recursos Inominados julgados pelas Turmas Recursais
rpai1;RpAI1º - Recursos das Decisões de 1º Grau Providos pelos Tribunais em Agravos de Instrumento (ainda que parcialmente)
rpai2;RpAI2º - Recursos das decisões de 2º Grau providos pelo STJ em Agravos de Instrumento (ainda que parcialmente)
rpap1;RpAP1º - Recursos das Decisões de 1º Grau Providos pelos Tribunais em Recurso de Apelação (ainda que parcialmente)
rpesp2;RpEsp2º - Recursos das decisões de 2º Grau providos pelo STJ em Recurso Especial (ainda que parcialmente)
rpext2;RpExt2º - Recursos das decisões de 2º Grau providos pelo STF em Recurso Extraordinário (ainda que parcialmente)
rpexttr;RpExtTR - Recursos das decisões de Turmas Recursais providos pelo STF em Recurso Extraordinário (ainda que parcialmente)
rpinje;RpInJE - Recursos Inominados das decisões dos Juizados Especiais providos pelas Turmas Recursais (ainda que parcialmente)
rsup1;RSup1º - Recursos à Instância Superior no 1º Grau
rsup2;RSup2º - Recursos à Instância Superior no 2º Grau
rsupje;RSupJE - Recursos à Instância Superior nos Juizados Especiais
rx;Rx – Recorribilidade Externa
rx1;Rx1º - Recorribilidade Externa de 1º Grau
rx2;Rx2º - Recorribilidade Externa de 2º grau
rxa;Rxa - Recorribilidade Externa de Despacho Denegatório de Admissibilidade no Superior Tribunal de Justiça
rxai2;RxAI2º - Recorribilidade Externa de Agravo de Instrumento para o TST
rxap1;RxAP1º - Recorribilidade Externa na Fase de Execução no 1º Grau
rxje;RxJE - Recorribilidade Externa dos Juizados Especiais
rxro1;RxRO1º - Recorribilidade Externa na Fase de Conhecimento no 1º Grau
sajud;SaJud - Número de Servidores Lotados na Área Judiciária
sajud1;SaJud1º - Total de Servidores Lotados na Área Judiciária do 1º Grau
sajud2;SaJud2º - Número de Servidores Lotados na Área Judiciária do 2º Grau
sajudacje1;SaJudAcJE1º - Número de Servidores Lotados na Área Judiciária do 1º Grau que acumulam função em Juizados Especiais
sajudae1;SaJudAe1º - Número de Servidores Lotados na Área Judiciária do 1º Grau com Atuação Exclusiva
sajudaeje;SaJudAeJE - Número de Servidores Lotados na Área Judiciária dos Juizados Especiais Exclusivos
sajudje;SaJudJE - Total de Servidores Lotados na Área Judiciária dos Juizados Especiais
sajudmag;SajudMag - Servidores da área Judiciária por Magistrado.
sajudmag1;SajudMag1 - Servidores da área Judiciária por Magistrado no 1° Grau.
sajudmag2;SajudMag2 - Servidores da área Judiciária por Magistrado no 2° Grau.
sajudmagje;SajudMagJE - Servidores da área Judiciária por Magistrado nos Juizados Especiais.
sajudmagtr;SajudMagTR - Servidores da área Judiciária por Magistrado nas Turmas Recursais.
sajudp;SaJudP – Cargos Providos de Servidores da Área Judiciária
sajudp1;SaJudP1º – Cargos Providos de Servidores da Área Judiciária no 1º Grau
sajudp2;SaJudP2º – Cargos Providos de Servidores da Área Judiciária no 2º Grau
sajudpje;SaJudPJE – Cargos Providos de Servidores da Área Judiciária nos Juizados Especiais
sajudpstm;SaJudPSTM – Cargos Providos de Servidores da Área Judiciária no STM
sajudptr;SaJudPTR – Cargos Providos de Servidores da Área Judiciária nas Turmas Recursais
sajudptru;SaJudPTRU – Cargos Providos de Servidores da Área Judiciária na Turma Regional de Uniformização
sajudserv;SaJudServ - Servidores da área judiciária em relação ao total de servidores
sajudtr;SaJudTR - Número de Servidores Lotados na Área Judiciária das Turmas Recursais
scn;Scn - Sentenças por Casos Novos
scn1;Scn1 - Sentenças por Casos Novos no 1° Grau.
scn2;Scn2 - Sentenças por Casos Novos no 2° Grau.
scnc1;ScnC1 - Sentenças por Casos Novos de Conhecimento no 1° Grau.
scncje;ScnCJE - Sentenças por Casos Novos de Conhecimento nos Juizados Especiais.
scnex1;ScnEx1 - Sentenças por Casos Novos de Execução no 1° Grau.
scnexje;ScnExJE - Sentenças por Casos Novos de Execução nos Juizados Especiais.
scnje;ScnJE - Sentenças por Casos Novos nos Juizados Especiais.
scntr;ScnTR - Sentenças por Casos Novos nas Turmas Recursais.
scoreacp;Escore do ranking
sent;Sent - Total de Sentenças / Decisões
sent1;Sent1º - Total de Sentenças no 1º Grau
sentc1;SentC1º - Sentenças de Conhecimento no 1º Grau
sentccrim1;SentCCrim1º - Sentenças de Conhecimento no 1º grau Criminais
sentccrimje;SentCCrimJE - Sentenças de Conhecimento nos Juizados Especiais Criminais
sentcje;SentCJE - Sentenças de Conhecimento nos Juizados Especiais
sentcncrim1;SentCNCrim1º - Sentenças de Conhecimento no 1º grau Não-Criminais
sentcncrimje;SentCNCrimJE - Sentenças de Conhecimento nos Juizados Especiais Não-Criminais
sentcrim;SentCrim - Total de Sentenças e Decisões Criminais
sentex1;SentEx1º - Sentenças em Execução no 1º Grau
sentexje;SentExJE - Sentenças em Execução nos Juizados Especiais
sentext1;SentExt1º - Sentenças em Execução de Título Extrajudicial no 1º Grau
sentextfisc1;SentExtFisc1º - Sentenças em Execução Fiscal no 1º grau
sentextje;SentExtJE - Sentenças em Execução de Título Extrajudicial nos Juizados Especiais
sentextnfisc1;SentExtNFisc1º - Sentenças em Execução de Título Extrajudicial no 1º grau, exceto sentenças em execução fiscal
sentje;SentJe - Total de Sentenças nos Juizados Especiais
sentjud1;SentJud1º - Sentenças em Execução Judicial no 1º Grau
sentjudcrim1;SentJudCrim1º - Sentenças em Execução Penal no 1º grau
sentjudcrimnpl1;SentJudCrimNPL1º - Sentenças em Execução de Penas Não-Privativas de Liberdade no 1º grau
sentjudcrimnplje;SentJudCrimNPLJE - Sentenças em Execução de Penas Não-Privativas de Liberdade nos Juizados Especiais
sentjudcrimpl1;SentJudCrimPL1º - Sentenças em Execução de Penas Privativas de Liberdade no 1º grau
sentjudje;SentJudJE - Sentenças em Execução Judicial nos Juizados Especiais
sentjudncrim1;SentJudNCrim1º - Sentenças em Execução Judicial no 1º grau, exceto sentenças em execução penal
sentjudncrimje;SentJudNCrimJE - Sentenças em Execução nos Juizados Especiais Não-Criminais
sentncrim;SentNCrim - Total de Sentenças e Decisões Não-Criminais
seq_orgao;Identificador do Tribunal
serint1;SeRInt1º - Sentenças no 1º Grau Passíveis de Recurso Interno
serintje;SeRIntJE - Sentenças nos Juizados Especiais Passíveis de Recurso Interno
serv;Total de servidores
sigla;Sigla do Tribunal
sm;SM - Sentenças / Decisões Terminativas de Processo por Magistrado
sm1;SM1 - Sentenças por Magistrados no 1º Grau
sm2;DTM2º - Decisões Terminativas de Processo por Magistrado no 2º Grau
smc1;SMC1º - Sentenças por Magistrados na Fase de Conhecimento do 1º Grau
smcje;SMCJE - Sentenças por Magistrados na Fase de Conhecimento dos Juizados Especiais
smex1;SMEx1º - Sentenças por Magistrados na Fase de Execução do 1º Grau
smexje;SMExJE - Sentenças por Magistrados na Fase de Execução dos Juizados Especiais
smje;SMJE - Sentenças por Magistrados nos Juizados Especiais
smstm;SMSTM – Sentenças por Magistrado do STM
smtr;DTMTR - Decisões Terminativas por Magistrado na Turma Recursal
smtru;SMTRU – Sentenças por Magistrado das Turmas Regionais de Uniformização
susex1;SuSEx1º – Execuções Suspensas ou Sobrestadas ou em Arquivo Provisório no 1º Grau
target.tbaix;Total de processos baixados
target.tbaix1;Total de processos baixados no 1º grau
target.tbaix2;Total de processos baixados no 2º grau
tbaix;TBaix - Total de Processos Baixados
tbaix1;TBaix1º - Total de Processos Baixados no 1º Grau
tbaix2;TBaix2º - Total de Processos Baixados no 2º Grau
tbaix3;TBaix3 - Total de Processos Baixados
tbaixc1;TBaixC1º - Total de Processos de Conhecimento Baixados no 1º Grau
tbaixccrim1;TBaixCCrim1º - Processos de Conhecimento Baixados no 1º Grau Criminais
tbaixccrimje;TBaixCCrimJE - Total de Processos de Conhecimento Baixados nos Juizados Especiais Criminais
tbaixcje;TBaixCJE - Total de Processos de Conhecimento Baixados nos Juizados Especiais
tbaixcncrim1;TBaixCNCrim1º - Processos de Conhecimento Baixados no 1º Grau Não-Criminais
tbaixcncrimje;TBaixCNCrimJE - Total de Processos de Conhecimento Baixados nos Juizados Especiais Não-Criminais
tbaixcrim;TBaixCrim - Total de Processos Baixados Criminais
tbaixcrim2;TBaixCrim2º - Total de Processos Baixados no 2º Grau Criminais
tbaixcrim3;Processos baixados criminais nos Tribunais Superiores
tbaixcrimtr;TBaixCrimTR - Total de Processos Baixados nas Turmas Recursais Criminais
tbaixex1;TBaixEx1º - Total de Processos Baixados de Execução no 1º Grau
tbaixexje;TBaixExJE - Total de Processos de Execução Baixados nos Juizados Especiais
tbaixext1;TBaixExt1º - Total de Processos Baixados de Execução de Título Extrajudicial no 1º Grau
tbaixextfisc1;TBaixExtFisc1º - Total de Processos Baixados de Execução Fiscal no 1º Grau
tbaixextje;TBaixExtJE - Total de Processos Baixados de Execução de Título Extrajudicial nos Juizados Especiais
tbaixextnfisc1;TBaixExtNFisc1º - Total de Processos Baixados de Execução de Títulos Extrajudiciais no 1º Grau, exceto execuções fiscais
tbaixje;TBaixJE - Total de Processos Baixados nos Juizados Especiais
tbaixjud1;TBaixJud1º - Total de Processos Baixados de Execução Judicial no 1º Grau
tbaixjudcrim1;TBaixJudCrim1 - Total de Processos Baixados de Execução de Penal no 1º Grau
tbaixjudcrimnpl1;TBaixJudCrimNPL1º - Total de Processos Baixados de Execução de Penas Não-Privativas de Liberdade no 1º Grau
tbaixjudcrimnplje;TBaixJudCrimNPLJE - Total de Processos Baixados de Execução de Penas Não-Privativas de liberdade nos Juizados Especiais
tbaixjudcrimpl1;TBaixJudCrimPL1º - Total de Processos Baixados de Execução de Penas Privativas de Liberdade no 1º Grau
tbaixjudje;TBaixJudJE - Total de Processos de Execução Judicial Baixados nos Juizados Especiais
tbaixjudncrim1;TBaixJudNCrim1º - Total de Processos Baixados de Execução Judicial no 1º Grau, exceto execuções penais
tbaixjudncrimje;TBaixJudNCrimJE - Total de Processos Baixados de Execução Judicial nos Juizados Especiais, exceto execuções penais
tbaixncrim;TBaixNCrim - Total de Processos Baixados Não-Criminais
tbaixncrim2;TBaixNCrim2º - Total de Processos Baixados no 2º Grau Não-Criminais
tbaixncrim3;TBaixNCrim3 - Total de processos baixados não criminais nos Tribunais Superiores.
tbaixncrimtr;TBaixNCrimTR - Total de Processos Baixados nas Turmas Recursais Não-Criminais
tbaixtr;TBaixTR - Total de Processos Baixados na Turma Recursal
tc;TC - Taxa de Congestionamento
tc1;TC1 - Taxa de Congestionamento no 1º Grau
tc2;TC2º - Taxa de Congestionamento no 2º Grau
tcc;TCC - Total de Cargos em Comissão Existentes
tcc1;TCC1º - Taxa de Congestionamento na Fase de Conhecimento do 1º Grau
tcc1je;TcC1JE - Taxa de Congestionamento de Conhecimento no 1° Grau e Juizados Especiais.
tcccrim1;TcCCrim1º - Taxa de Congestionamento Criminal na Fase de Conhecimento do 1º Grau
tcccrimje;TcCCrimJe - Taxa de Congestionamento Criminal na Fase de Conhecimento dos Juizados Especiais
tccje;TCCJE - Taxa de Congestionamento na Fase de Conhecimento dos Juizados Especiais
tccncrim1;TcCNCrim1º - Taxa de Congestionamento Não-Criminal na Fase de Conhecimento do 1º Grau
tccncrimje;TcCNCrimJe - Taxa de Congestionamento Não-Criminal na Fase de Conhecimento dos Juizados Especiais
tccrim;TcCrim - Taxa de Congestionamento Criminal
tccrim2;TcCrim2º - Taxa de Congestionamento Criminal no 2º grau
tccrimtr;TcCrimTr - Taxa de Congestionamento Criminal nas Turmas Recursais
tcefet;TCEfet - Total de Cargos do Quadro Efetivo Existentes
tcex1;TCEx1º - Taxa de Congestionamento na Fase de Execução do 1º Grau
tcexje;TCexJE - Taxa de Congestionamento na Fase de Execução dos Juizados Especiais
tcext1;TcExt1º - Taxa de Congestionamento na Execução Extrajudicial do 1º Grau
tcextfisc1;TcExtFisc1º - Taxa de Congestionamento na Execução Fiscal do 1º Grau
tcextje;TCExtJe - Taxa de Congestionamento na Execução Extrajudicial dos Juizados Especiais
tcextnfisc1;TcExtNFisc1º - Taxa de Congestionamento na Execução Extrajudicial não-Fiscal do 1º Grau
tcje;TCJE - Taxa de Congestionamento nos Juizados Especiais
tcjud1;TcJud1º - Taxa de Congestionamento na Execução Judicial do 1º Grau
tcjudcrimnpl1;TcJudCrimNPL1º - Taxa de Congestionamento na Execução de Penas Não-Privativas de Liberdade do 1º Grau
tcjudcrimnplje;TCJudCrimNPLJe - Taxa de Congestionamento na Execução de Penas Não-Privativas de Liberdade dos Juizados Especiais
tcjudcrimpl1;TcJudCrimPL1º - Taxa de Congestionamento na Execução de Penas Privativas de Liberdade do 1º Grau
tcjudje;TCJudJe - Taxa de Congestionamento na Execução Judicial dos Juizados Especiais
tcjudncrim1;TcJudNCrim1º - Taxa de Congestionamento na Execução Não-Criminal do 1º Grau
tcjudncrimje;TCJudNCrimJe - Taxa de Congestionamento na Execução Judicial Não-Criminal dos Juizados Especiais
tcl;TCL – Taxa de Congestionamento Líquida
tcl1;TCL1º – Taxa de Congestionamento Líquida do 1º Grau
tcl2;TCL2º – Taxa de Congestionamento Líquida do 2º Grau
tclc1;TCLC1º – Taxa de Congestionamento Líquida na Fase de Conhecimento do 1º Grau
tclcje;TCLCJE – Taxa de Congestionamento Líquida na Fase de Conhecimento dos Juizados Especiais
tclex1;TCLEx1º – Taxa de Congestionamento Líquida na Fase de Execução do 1º Grau
tclexje;TCLExJE – Taxa de Congestionamento Líquida na Fase de Execução dos Juizados Especiais
tclje;TCLJE – Taxa de Congestionamento Líquida dos Juizados Especiais
tclstm;TCLSTM – Taxa de Congestionamento Líquida no STM
tcltr;TCLTR – Taxa de Congestionamento Líquida nas Turmas Recursais
tcncrim;TcNCrim - Taxa de Congestionamento Não-Criminal
tcncrim2;TcNCrim2º - Taxa de Congestionamento Não-Criminal no 2º grau
tcncrimtr;TcNCrimTr - Taxa de Congestionamento Não-Criminal nas Turmas Recursais
tcstm;TCSTM – Taxa de Congestionamento Total no STM
tctr;TCTR - Taxa de Congestionamento nas Turmas Recursais
tctru;TCTRU - Taxa de Congestionamento nas Turmas Regionais de Uniformização
tfaux;TFAux - Total da Força de Trabalho Auxiliar
tfaux1;TFAux1º - Total da Força de Trabalho Auxiliar no 1º Grau
tfaux2;TFAux2º - Total da Força de Trabalho Auxiliar no 2º Grau
tfauxc;TFAuxC - Total da Força de Trabalho Auxiliar de Conciliadores
tfauxc1;TFAuxC1º - Total da Força de Trabalho Auxiliar de Conciliadores
tfauxc2;TFAuxC2º - Total da Força de Trabalho Auxiliar no 2º Grau de Conciliadores
tfauxe;TFAuxE - Total da Força de Trabalho Auxiliar de Estagiários
tfauxe1;TFAuxE1º - Total da Força de Trabalho Auxiliar de Estagiários
tfauxe2;TFAuxE2º - Total da Força de Trabalho Auxiliar no 2º Grau de Estagiários
tfauxjl;TFAuxJL - Total da Força de Trabalho Auxiliar de Juízes leigos
tfauxjl1;TFAuxJL1º - Total da Força de Trabalho Auxiliar de Juízes leigos
tfauxjl2;TFAuxJL2º - Total da Força de Trabalho Auxiliar no 2º Grau de Juízes Leigos
tfauxt;TFAuxT - Total da Força de Trabalho Auxiliar de Terceirizados
tfauxt1;TFAuxT1º - Total da Força de Trabalho Auxiliar de Terceirizados
tfauxt2;TFAuxT2º - Total da Força de Trabalho Auxiliar no 2º Grau de Terceirizados
tfc;TFc - Total de Funções Comissionadas Existentes
tpaf;TPAf – Total de Pessoal Afastado
tpaf1;TPAf1º – Total de Pessoal Afastado da Área Judiciária no 1º Grau
tpaf2;TPAf2º – Total de Pessoal Afastado da Área Judiciária no 2º Grau
tpafje;TPAfJE – Total de Pessoal Afastado da Área Judiciária nos Juizados Especiais
tpafstm;TPAfSTM – Total de Pessoal Afastado do STM
tpaftr;TPAfTR – Total de Pessoal Afastado da Área Judiciária nas Turmas Recursais
tpaftru;TPAfTRU – Total de Pessoal Afastado da Área Judiciária na Turma Regional de Uniformização
tpced;TPCed - Total de Pessoal Cedido
tpefet;TPEfet - Total de Pessoal do Quadro Efetivo
tpefet1;TPEfet1º - Total de Pessoal do Quadro Efetivo
tpefet2;TPEfet2º - Total de Pessoal do Quadro Efetivo no 2º Grau
tpi;TPI – Total de Pessoal que ingressou por cessão ou requisição
tpin;TPIn – Total de Pessoal Inativo e Instituidores de Pensão
tpreq;TPReq - Total de Pessoal Requisitado
tpreq1;TPReq1º - Total de Pessoal Requisitado no 1º Grau
tpreq2;TPReq2º - Total de Pessoal Requisitado no 2º Grau
tpreqfpj;TPReqFPJ - Total de Pessoal Requisitado fora do Poder Judiciário
tpreqfpj1;TPReqFPJ1º - Total de Pessoal Requisitado fora do Poder Judiciário
tpreqfpj2;TPReqFPJ2º - Total de Pessoal Requisitado no 2º Grau fora do Poder Judiciário
tpreqpj;TPReqPJ - Total de Pessoal Requisitado do Poder Judiciário
tpreqpj1;TPReqPJ1º - Total de Pessoal Requisitado do Poder Judiciário
tpreqpj2;TPReqPJ2º - Total de Pessoal Requisitado no 2º Grau do Poder Judiciário
tpsv;TPSV - Total de Pessoal sem Vínculo
tpsv1;TPSV1º - Total de Pessoal sem Vínculo
tpsv2;TPSV2º - Total de Pessoal sem Vínculo no 2º Grau
tptotst;Tempo total de tramitação no TST
tram;Total de processos que tramitaram
tram1jetr;Total de processos que tramitaram no 1º grau, Juizados Especiais e Turmas Recursais
tram2tru;Total de processos que tramitaram no 2º grau e Turmas Regionais de Uniformização
traml;Total de processos que tramitaram (Excluídos os processos sobrestados, suspensos ou em arquivo provisório)
traml1jetr;Total de processos que tramitaram no 1º grau, Juizados Especiais e Turmas Recursais (Excluídos os processos sobrestados, suspensos ou em arquivo provisório)
traml2tru;Total de processos que tramitaram no 2º grau e Turmas Regionais de Uniformização (Excluídos os processos sobrestados, suspensos ou em arquivo provisório)
ts;TS - Total de Servidores
tvefet;Total de cargos vagos de servidor
ue;UE - Número de eleitores por Urna
uemc;UEMC - Espaço Utilizado em Relação ao Espaço Disponível para Armazenamento de Urnas Eletrônicas (em Metros Cúbicos)
uf_abrangida;UF abrangida
uf_sede;UF sede
ui;Ui - Usuários de computador
vara;Número de varas
varaadjje;Número de varas adjuntas a Juizados Especiais
varae;Números de varas e Juizados Especiais
varah;Número de varas por cem mil habitantes
varaje;Número de varas e Juizados Especiais
vpag;VPag - Valores Pagos aos Jurisdicionados
